produto,categoria,estoque_inicial,vendas_do_mes,custo_unitario,preco_venda
Brita Premium,Elétrica,76,370,426.43,775.02
Tijolo Residencial,Elétrica,796,309,121.54,197.85
Argamassa Premium,Acabamento,138,66,301.82,442.45
Bloco de Concreto Reforçada,Hidráulica,38,92,428.66,852.37
Tinta Acrílica Industrial,Elétrica,352,137,207.32,333.78
Canos PVC Reforçada,Estrutura,554,188,466.41,775.71
Lâmpada LED Refinada,Estrutura,128,58,451.97,511.75
Prego Reforçada,Hidráulica,701,186,108.03,207.93
Tomada Industrial,Iluminação,946,234,133.19,169.27
Areia Comum,Acabamento,672,68,94.32,131.98
Tinta Acrílica Residencial,Estrutura,142,446,102.05,214.71
Prego Industrial,Estrutura,336,97,454.39,699.1
Rejunte Residencial,Hidráulica,194,7,465.91,618.96
Porta de Madeira Comercial,Iluminação,515,461,30.69,58.57
Rejunte Reforçada,Iluminação,655,487,298.83,418.62
Lâmpada LED Residencial,Hidráulica,698,310,284.29,420.57
Parafuso Comercial,Estrutura,543,133,198.32,390.67
Cimento Comum,Acabamento,250,384,317.69,678.52
Telha de Zinco Refinada,Estrutura,598,55,473.95,1012.13
Telha Cerâmica Refinada,Iluminação,725,480,89.28,158.48
Telha Cerâmica Industrial,Estrutura,525,359,64.6,112.15
Bloco de Concreto Premium,Acabamento,849,458,21.53,47.42
Bloco de Concreto Industrial,Elétrica,969,113,185.1,253.63
Telha Cerâmica Extra,Estrutura,174,87,172.13,226.02
Areia Industrial,Hidráulica,936,137,218.26,443.19
Lâmpada LED Comercial,Elétrica,942,107,254.14,425.25
Parafuso Comum,Hidráulica,649,499,380.12,795.97
Tinta Acrílica Comercial,Hidráulica,566,22,199.1,290.53
Parafuso Residencial,Hidráulica,227,143,168.65,262.22
Parafuso Reforçada,Estrutura,756,356,414.31,975.84
Brita Refinada,Iluminação,657,143,425.65,719.48
Janela de Alumínio Extra,Elétrica,689,55,120.22,231.7
Fio Elétrico Residencial,Acabamento,758,107,160.76,200.85
Fio Elétrico Refinada,Iluminação,614,350,413.43,558.28
Brita Residencial,Estrutura,14,5,44.31,50.97
Canos PVC Comercial,Hidráulica,677,29,166.29,281.72
Porta de Madeira Premium,Acabamento,766,446,226.93,563.8
Tomada Refinada,Elétrica,881,484,97.6,226.77
Tinta Acrílica Refinada,Iluminação,90,384,94.06,186.81
Interruptor Comum,Iluminação,256,306,215.31,496.4
Canos PVC Extra,Acabamento,864,361,378.49,731.18
Telha Cerâmica Comum,Estrutura,502,344,420.92,680.32
Canos PVC Premium,Elétrica,658,126,489.72,657.68
Janela de Alumínio Refinada,Acabamento,395,301,41.62,83.83
Telha Cerâmica Residencial,Hidráulica,584,120,112.26,153.83
Argamassa Extra,Elétrica,316,404,379.53,639.28
Cimento Reforçada,Iluminação,637,98,272.6,615.02
Madeira Serrada Refinada,Acabamento,634,165,167.2,214.17
Madeira Serrada Comercial,Iluminação,552,324,106.77,136.73
Fio Elétrico Premium,Iluminação,16,318,143.84,203.41
Telha de Zinco Comercial,Iluminação,935,240,217.5,407.31
Areia Reforçada,Estrutura,963,49,92.69,134.62
Tomada Comercial,Iluminação,524,267,482.29,870.28
Tijolo Refinada,Hidráulica,828,324,58.26,88.72
Madeira Serrada Residencial,Hidráulica,764,72,492.86,891.46
Areia Residencial,Elétrica,577,299,421.74,627.84
Tijolo Comum,Iluminação,82,51,214.46,530.15
Rejunte Comum,Iluminação,19,264,371.21,664.39
Parafuso Industrial,Acabamento,582,226,337.4,722.41
Tomada Comum,Estrutura,571,192,110.58,230.09
Janela de Alumínio Reforçada,Elétrica,131,373,172.84,308.83
Tinta Acrílica Premium,Iluminação,696,238,259.0,371.51
Porta de Madeira Extra,Acabamento,995,9,320.73,582.13
Brita Comum,Estrutura,522,301,273.73,562.07
Argamassa Refinada,Elétrica,999,358,239.13,417.02
Telha de Zinco Premium,Elétrica,450,227,224.36,272.53
Parafuso Premium,Iluminação,47,441,251.64,283.14
Telha de Zinco Residencial,Elétrica,711,292,220.0,342.99
Telha Cerâmica Comercial,Acabamento,600,51,272.96,357.66
Interruptor Refinada,Elétrica,354,239,444.55,1052.99
Madeira Serrada Comum,Hidráulica,975,98,318.25,428.42
Prego Comercial,Acabamento,347,80,362.7,599.18
Areia Comercial,Estrutura,970,12,300.75,630.65
Fio Elétrico Extra,Estrutura,711,389,323.29,724.68
Parafuso Refinada,Iluminação,193,441,291.28,515.22
Tomada Premium,Iluminação,76,356,18.3,24.77
Tomada Reforçada,Hidráulica,26,127,499.8,739.33
Lâmpada LED Premium,Estrutura,392,303,21.64,36.5
Madeira Serrada Industrial,Estrutura,377,415,200.6,323.05
Telha de Zinco Industrial,Estrutura,913,10,57.03,90.57
Lâmpada LED Industrial,Estrutura,325,80,52.98,68.06
Argamassa Residencial,Elétrica,506,260,397.8,946.22
Interruptor Industrial,Acabamento,817,5,215.83,246.4
Prego Premium,Acabamento,730,457,401.56,689.08
Porta de Madeira Residencial,Hidráulica,354,372,140.03,346.22
Janela de Alumínio Comum,Elétrica,967,480,131.95,267.02
Brita Industrial,Estrutura,562,221,129.36,206.66
Cimento Extra,Estrutura,917,404,309.99,404.39
Cimento Comercial,Iluminação,998,297,408.42,1000.39
Janela de Alumínio Residencial,Iluminação,482,80,228.87,256.24
Cimento Industrial,Hidráulica,124,410,192.73,395.86
Canos PVC Residencial,Estrutura,109,2,486.92,1135.59
Brita Extra,Hidráulica,894,59,62.79,71.28
Fio Elétrico Comercial,Elétrica,447,220,245.88,520.1
Telha de Zinco Comum,Acabamento,354,449,207.2,517.66
Bloco de Concreto Extra,Estrutura,358,348,53.57,106.9
Lâmpada LED Comum,Elétrica,148,48,137.76,231.51
Rejunte Industrial,Estrutura,837,227,19.08,44.34
Interruptor Premium,Iluminação,333,289,439.09,823.67
Argamassa Reforçada,Hidráulica,855,292,305.89,657.42
Canos PVC Comum,Iluminação,311,297,408.43,785.37
Madeira Serrada Premium,Acabamento,303,192,263.17,303.59
Parafuso Extra,Iluminação,966,443,301.76,421.98
Argamassa Comum,Estrutura,538,473,351.92,425.92
Rejunte Premium,Iluminação,843,256,454.47,567.8
Tijolo Extra,Estrutura,977,442,50.42,56.55
Cimento Premium,Acabamento,301,387,168.82,285.24
Brita Comercial,Iluminação,83,102,355.97,480.6
Prego Comum,Hidráulica,784,397,479.38,1101.6
Rejunte Extra,Hidráulica,493,365,490.5,1054.6
Janela de Alumínio Comercial,Hidráulica,25,145,320.86,610.42
Porta de Madeira Comum,Iluminação,535,289,100.83,179.94
Areia Refinada,Iluminação,345,256,64.01,93.34
Tinta Acrílica Comum,Iluminação,802,308,473.29,835.32
Prego Refinada,Estrutura,882,277,219.79,439.08
Argamassa Industrial,Acabamento,525,463,101.43,222.65
Interruptor Extra,Hidráulica,934,188,467.28,567.44
Prego Residencial,Estrutura,136,405,56.74,118.69
Interruptor Residencial,Hidráulica,833,177,366.14,783.47
Areia Extra,Estrutura,527,15,314.51,592.08
Cimento Refinada,Iluminação,138,411,48.43,67.8
Lâmpada LED Extra,Hidráulica,520,475,172.68,320.3
Fio Elétrico Comum,Iluminação,432,374,79.22,142.9
Interruptor Comercial,Hidráulica,394,85,304.23,537.27
Bloco de Concreto Comercial,Elétrica,892,247,241.17,420.82
Bloco de Concreto Residencial,Estrutura,241,453,7.12,8.94
Fio Elétrico Industrial,Elétrica,968,216,487.98,661.73
Rejunte Refinada,Estrutura,834,41,178.04,220.1
Canos PVC Refinada,Acabamento,204,193,132.81,191.18
Telha de Zinco Reforçada,Hidráulica,74,326,115.11,169.08
Areia Premium,Acabamento,842,372,83.61,120.66
Tinta Acrílica Reforçada,Acabamento,624,464,499.57,697.05
Lâmpada LED Reforçada,Estrutura,286,162,151.08,321.74
Argamassa Comercial,Elétrica,679,275,205.73,462.07
Canos PVC Industrial,Iluminação,233,363,436.32,679.77
Rejunte Comercial,Estrutura,810,129,322.73,492.87
Bloco de Concreto Comum,Iluminação,953,262,187.5,427.81
Cimento Residencial,Acabamento,287,479,449.67,887.42
Telha Cerâmica Reforçada,Iluminação,999,176,376.11,568.23
Brita Reforçada,Elétrica,703,466,117.81,247.29
Tijolo Comercial,Estrutura,375,459,323.65,512.15
Tomada Residencial,Elétrica,525,264,461.59,886.8
Interruptor Reforçada,Elétrica,224,26,250.75,624.29
Madeira Serrada Extra,Estrutura,448,461,368.14,560.39
Porta de Madeira Refinada,Elétrica,437,385,485.7,1167.01
Porta de Madeira Industrial,Hidráulica,738,84,346.75,537.09
Prego Extra,Hidráulica,405,195,55.71,103.42
Madeira Serrada Reforçada,Hidráulica,218,315,126.06,219.85
Tinta Acrílica Extra,Iluminação,510,242,299.57,657.98
Telha Cerâmica Premium,Elétrica,472,468,141.4,167.63
Janela de Alumínio Premium,Estrutura,595,367,478.98,947.41
Janela de Alumínio Industrial,Estrutura,236,341,205.65,445.22
Tijolo Reforçada,Iluminação,384,176,231.33,407.37
Fio Elétrico Reforçada,Estrutura,509,129,352.29,439.45
Tijolo Premium,Hidráulica,957,144,264.5,381.6
Telha de Zinco Extra,Elétrica,102,82,194.16,398.33
Tomada Extra,Estrutura,469,359,42.94,101.06
Porta de Madeira Reforçada,Estrutura,586,87,300.24,507.48
Tijolo Industrial,Acabamento,330,19,434.45,818.75
Bloco de Concreto Refinada,Acabamento,19,229,344.45,489.03
Brita Premium,Acabamento,923,459,193.84,325.09
Tijolo Residencial,Elétrica,312,472,68.22,107.21
Argamassa Premium,Hidráulica,331,125,409.09,825.44
Bloco de Concreto Reforçada,Hidráulica,826,470,471.17,1167.83
Tinta Acrílica Industrial,Hidráulica,465,497,197.2,441.46
Canos PVC Reforçada,Elétrica,287,353,365.68,500.63
Lâmpada LED Refinada,Elétrica,607,415,208.33,397.65
Prego Reforçada,Acabamento,547,50,253.62,302.56
Tomada Industrial,Estrutura,739,87,419.06,605.83
Areia Comum,Iluminação,402,169,46.3,62.09
Tinta Acrílica Residencial,Iluminação,926,62,267.52,419.94
Prego Industrial,Estrutura,104,88,111.24,228.08
Rejunte Residencial,Acabamento,765,188,173.2,311.61
Porta de Madeira Comercial,Estrutura,968,189,323.99,779.54
Rejunte Reforçada,Estrutura,116,386,18.48,25.83
Lâmpada LED Residencial,Iluminação,399,88,298.94,481.26
Parafuso Comercial,Acabamento,769,347,145.3,226.93
Cimento Comum,Elétrica,535,331,336.39,481.16
Telha de Zinco Refinada,Iluminação,682,25,75.08,186.98
Telha Cerâmica Refinada,Elétrica,80,175,369.23,606.32
Telha Cerâmica Industrial,Acabamento,673,363,324.59,784.44
Bloco de Concreto Premium,Estrutura,978,263,485.76,799.88
Bloco de Concreto Industrial,Hidráulica,596,388,456.06,631.98
Telha Cerâmica Extra,Hidráulica,385,394,145.23,183.99
Areia Industrial,Acabamento,736,41,18.52,42.56
Lâmpada LED Comercial,Hidráulica,377,482,329.41,377.15
Parafuso Comum,Elétrica,60,474,303.43,743.45
Tinta Acrílica Comercial,Hidráulica,907,118,18.58,31.32
Parafuso Residencial,Acabamento,152,168,65.73,95.07
Parafuso Reforçada,Acabamento,428,107,294.43,578.39
Brita Refinada,Elétrica,557,485,456.35,586.9
Janela de Alumínio Extra,Hidráulica,509,146,453.72,544.92
Fio Elétrico Residencial,Hidráulica,895,175,79.99,180.69
Fio Elétrico Refinada,Estrutura,997,436,195.36,331.05
Brita Residencial,Iluminação,176,438,26.39,48.18
Canos PVC Comercial,Acabamento,757,375,237.29,319.72
Porta de Madeira Premium,Estrutura,269,188,377.78,448.04
Tomada Refinada,Acabamento,201,159,396.04,639.56
Tinta Acrílica Refinada,Estrutura,211,301,252.0,455.77
Interruptor Comum,Iluminação,783,347,52.46,113.92
Canos PVC Extra,Estrutura,194,419,193.78,349.09
Telha Cerâmica Comum,Acabamento,167,401,466.39,1023.96
Canos PVC Premium,Hidráulica,767,73,118.66,149.7
Janela de Alumínio Refinada,Acabamento,631,351,163.28,194.23
Telha Cerâmica Residencial,Elétrica,108,17,374.68,495.48
Argamassa Extra,Elétrica,250,139,368.12,802.8
Cimento Reforçada,Elétrica,500,114,456.54,987.52
Madeira Serrada Refinada,Elétrica,211,327,197.12,255.84
Madeira Serrada Comercial,Iluminação,643,224,259.73,296.97
Fio Elétrico Premium,Hidráulica,518,45,236.36,486.76
Telha de Zinco Comercial,Hidráulica,638,438,464.24,1066.54
Areia Reforçada,Acabamento,105,37,385.82,831.73
Tomada Comercial,Estrutura,755,205,416.56,576.49
Tijolo Refinada,Acabamento,499,385,70.88,135.9
Madeira Serrada Residencial,Acabamento,588,8,396.96,857.56
Areia Residencial,Acabamento,897,252,219.32,319.8
Tijolo Comum,Acabamento,227,107,16.55,30.43
Rejunte Comum,Hidráulica,536,388,34.74,53.51
Parafuso Industrial,Estrutura,282,97,340.56,482.17
Tomada Comum,Acabamento,228,274,189.15,464.82
Janela de Alumínio Reforçada,Hidráulica,795,70,434.72,1033.6
Tinta Acrílica Premium,Acabamento,892,38,368.47,635.22
Porta de Madeira Extra,Elétrica,668,297,15.73,20.32
Brita Comum,Acabamento,341,400,345.01,731.1
Argamassa Refinada,Acabamento,865,446,100.21,146.1
Telha de Zinco Premium,Iluminação,462,89,214.18,286.13
Parafuso Premium,Elétrica,161,429,314.24,513.51
Telha de Zinco Residencial,Estrutura,356,218,437.0,804.86
Telha Cerâmica Comercial,Acabamento,825,106,230.77,285.33
Interruptor Refinada,Estrutura,423,475,405.2,770.06
Madeira Serrada Comum,Elétrica,536,403,392.57,440.26
Prego Comercial,Acabamento,440,453,210.2,493.68
Areia Comercial,Iluminação,388,391,252.99,604.4
Fio Elétrico Extra,Hidráulica,904,95,351.74,747.9
Parafuso Refinada,Iluminação,437,402,20.42,35.8
Tomada Premium,Iluminação,875,31,445.95,649.68
Tomada Reforçada,Hidráulica,932,125,386.06,826.85
Lâmpada LED Premium,Hidráulica,93,146,128.46,308.88
Madeira Serrada Industrial,Hidráulica,201,279,490.68,648.65
Telha de Zinco Industrial,Acabamento,50,23,93.8,164.35
Lâmpada LED Industrial,Estrutura,873,439,457.47,705.13
Argamassa Residencial,Estrutura,845,208,165.61,264.88
Interruptor Industrial,Hidráulica,782,119,382.76,638.47
Prego Premium,Iluminação,318,273,230.91,561.69
Porta de Madeira Residencial,Elétrica,387,139,369.55,540.32
Janela de Alumínio Comum,Hidráulica,145,296,82.11,146.96
Brita Industrial,Iluminação,799,342,138.41,336.62
Cimento Extra,Iluminação,115,431,54.43,96.15
Cimento Comercial,Acabamento,528,81,433.25,1000.39
Janela de Alumínio Residencial,Acabamento,927,447,151.67,179.31
Cimento Industrial,Estrutura,823,399,348.77,848.99
Canos PVC Residencial,Estrutura,551,207,411.01,560.02
Brita Extra,Elétrica,135,483,451.2,1115.33
Fio Elétrico Comercial,Elétrica,366,406,57.62,77.55
Telha de Zinco Comum,Elétrica,409,469,447.04,769.85
Bloco de Concreto Extra,Elétrica,88,422,102.64,157.25
Lâmpada LED Comum,Iluminação,398,32,369.77,631.02
Rejunte Industrial,Iluminação,588,23,365.78,530.65
Interruptor Premium,Estrutura,544,60,9.21,22.58
Argamassa Reforçada,Acabamento,710,310,114.21,174.51
Canos PVC Comum,Acabamento,83,188,248.49,500.6
Madeira Serrada Premium,Hidráulica,14,83,212.92,275.18
Parafuso Extra,Iluminação,928,224,459.69,1036.21
Argamassa Comum,Elétrica,472,478,183.07,340.42
Rejunte Premium,Elétrica,91,167,468.81,1158.53
Tijolo Extra,Hidráulica,546,185,232.42,393.43
Cimento Premium,Acabamento,785,374,482.35,662.57
Brita Comercial,Elétrica,414,71,369.99,586.22
Prego Comum,Acabamento,523,73,415.52,885.79
Rejunte Extra,Hidráulica,287,384,56.91,115.11
Janela de Alumínio Comercial,Acabamento,849,340,295.14,646.26
Porta de Madeira Comum,Acabamento,864,152,75.64,90.98
Areia Refinada,Acabamento,233,95,152.32,291.31
Tinta Acrílica Comum,Elétrica,593,52,313.66,754.36
Prego Refinada,Estrutura,77,444,364.48,455.99
Argamassa Industrial,Iluminação,329,173,24.4,30.06
Interruptor Extra,Acabamento,615,109,267.82,563.29
Prego Residencial,Acabamento,28,457,284.83,439.0
Interruptor Residencial,Acabamento,649,315,44.02,89.01
Areia Extra,Estrutura,352,50,252.84,471.18
Cimento Refinada,Hidráulica,603,376,358.35,888.88
Lâmpada LED Extra,Elétrica,775,252,31.35,73.51
Fio Elétrico Comum,Estrutura,958,495,381.33,781.46
Interruptor Comercial,Acabamento,742,72,290.33,425.72
Bloco de Concreto Comercial,Estrutura,352,211,417.45,612.26
Bloco de Concreto Residencial,Estrutura,106,431,112.94,263.73
Fio Elétrico Industrial,Estrutura,61,211,417.47,801.32
Rejunte Refinada,Hidráulica,184,250,51.81,114.24
Canos PVC Refinada,Iluminação,347,167,204.9,354.44
Telha de Zinco Reforçada,Elétrica,703,262,103.74,129.08
Areia Premium,Hidráulica,949,330,438.63,686.79
Tinta Acrílica Reforçada,Hidráulica,362,468,353.94,469.19
Lâmpada LED Reforçada,Iluminação,400,229,17.55,38.51
Argamassa Comercial,Hidráulica,124,238,9.71,20.2
Canos PVC Industrial,Estrutura,357,274,149.17,182.55
Rejunte Comercial,Estrutura,10,493,75.93,149.58
Bloco de Concreto Comum,Acabamento,72,142,317.0,736.64
Cimento Residencial,Hidráulica,769,69,333.58,692.62
Telha Cerâmica Reforçada,Acabamento,752,444,471.27,855.62
Brita Reforçada,Elétrica,235,311,476.26,731.83
Tijolo Comercial,Estrutura,432,393,331.15,775.53
Tomada Residencial,Elétrica,28,173,7.81,13.21
Interruptor Reforçada,Iluminação,40,335,182.7,419.76
Madeira Serrada Extra,Estrutura,854,108,259.01,568.84
Porta de Madeira Refinada,Elétrica,642,202,252.09,565.37
Porta de Madeira Industrial,Iluminação,33,184,303.65,754.79
Prego Extra,Elétrica,846,290,480.47,1032.18
Madeira Serrada Reforçada,Iluminação,992,327,443.17,508.61
Tinta Acrílica Extra,Iluminação,220,91,58.91,81.74
Telha Cerâmica Premium,Estrutura,970,258,136.66,157.06
Janela de Alumínio Premium,Acabamento,170,321,417.39,570.1
Janela de Alumínio Industrial,Iluminação,264,436,413.03,489.86
Tijolo Reforçada,Iluminação,580,205,141.31,254.68
Fio Elétrico Reforçada,Estrutura,123,51,366.64,417.78
Tijolo Premium,Acabamento,513,348,337.66,594.83
Telha de Zinco Extra,Hidráulica,938,180,239.39,564.57
Tomada Extra,Hidráulica,681,437,104.72,224.94
Porta de Madeira Reforçada,Acabamento,964,302,444.88,1077.29
Tijolo Industrial,Elétrica,229,2,340.54,482.65
Bloco de Concreto Refinada,Estrutura,366,448,88.65,163.43
Brita Premium,Acabamento,178,398,353.88,547.1
Tijolo Residencial,Hidráulica,533,83,372.01,666.4
Argamassa Premium,Iluminação,978,213,444.01,834.7
Bloco de Concreto Reforçada,Hidráulica,251,33,115.31,132.68
Tinta Acrílica Industrial,Iluminação,384,49,494.43,705.33
Canos PVC Reforçada,Estrutura,148,288,80.93,168.88
Lâmpada LED Refinada,Iluminação,106,328,302.34,659.74
Prego Reforçada,Acabamento,156,258,330.3,626.66
Tomada Industrial,Iluminação,191,257,212.38,314.14
Areia Comum,Elétrica,66,387,240.14,400.34
Tinta Acrílica Residencial,Acabamento,51,271,446.0,550.57
Prego Industrial,Estrutura,875,181,324.41,789.76
Rejunte Residencial,Acabamento,720,32,251.02,581.4
Porta de Madeira Comercial,Elétrica,552,264,68.53,81.68
Rejunte Reforçada,Estrutura,701,312,8.63,11.5
Lâmpada LED Residencial,Hidráulica,11,39,66.86,127.94
Parafuso Comercial,Elétrica,988,485,478.31,681.78
Cimento Comum,Estrutura,943,307,383.22,922.86
Telha de Zinco Refinada,Iluminação,297,209,483.72,1043.78
Telha Cerâmica Refinada,Acabamento,147,271,22.68,33.63
Telha Cerâmica Industrial,Estrutura,626,135,341.71,378.8
Bloco de Concreto Premium,Acabamento,521,86,26.93,59.76
Bloco de Concreto Industrial,Iluminação,913,59,392.12,664.14
Telha Cerâmica Extra,Estrutura,739,163,193.57,387.01
Areia Industrial,Hidráulica,231,2,52.4,78.69
Lâmpada LED Comercial,Elétrica,340,14,286.18,372.04
Parafuso Comum,Estrutura,626,101,143.66,293.85
Tinta Acrílica Comercial,Iluminação,413,254,331.49,573.63
Parafuso Residencial,Estrutura,517,224,330.8,472.79
Parafuso Reforçada,Acabamento,925,209,353.98,457.58
Brita Refinada,Estrutura,136,22,496.27,949.2
Janela de Alumínio Extra,Hidráulica,274,234,196.42,415.58
Fio Elétrico Residencial,Estrutura,721,130,235.33,352.39
Fio Elétrico Refinada,Elétrica,773,157,403.28,858.66
Brita Residencial,Estrutura,24,172,291.29,395.1
Canos PVC Comercial,Acabamento,235,16,23.44,36.89
Porta de Madeira Premium,Estrutura,993,369,422.32,904.96
Tomada Refinada,Hidráulica,874,441,30.49,61.72
Tinta Acrílica Refinada,Iluminação,114,313,89.56,132.44
Interruptor Comum,Estrutura,754,479,55.53,70.58
Canos PVC Extra,Estrutura,502,365,43.57,50.52
Telha Cerâmica Comum,Elétrica,328,184,17.71,40.26
Canos PVC Premium,Hidráulica,228,390,32.24,38.86
Janela de Alumínio Refinada,Iluminação,286,422,224.01,282.43
Telha Cerâmica Residencial,Acabamento,782,333,130.16,186.49
Argamassa Extra,Estrutura,902,441,67.64,116.61
Cimento Reforçada,Iluminação,940,183,331.06,730.22
Madeira Serrada Refinada,Acabamento,350,142,116.93,169.14
Madeira Serrada Comercial,Hidráulica,461,43,14.38,26.76
Fio Elétrico Premium,Hidráulica,378,11,212.12,260.17
Telha de Zinco Comercial,Iluminação,953,7,158.66,277.71
Areia Reforçada,Acabamento,857,79,162.71,219.45
Tomada Comercial,Hidráulica,483,296,225.41,314.6
Tijolo Refinada,Iluminação,199,161,336.11,542.33
Madeira Serrada Residencial,Hidráulica,893,301,310.16,671.77
Areia Residencial,Hidráulica,428,215,468.94,1004.27
Tijolo Comum,Hidráulica,719,247,261.27,439.18
Rejunte Comum,Elétrica,874,28,238.92,302.51
Parafuso Industrial,Acabamento,798,271,110.64,165.18
Tomada Comum,Iluminação,857,132,378.91,684.88
Janela de Alumínio Reforçada,Iluminação,504,4,74.68,173.05
Tinta Acrílica Premium,Acabamento,48,243,248.11,609.25
Porta de Madeira Extra,Acabamento,171,29,213.55,425.49
Brita Comum,Acabamento,130,116,330.86,526.39
Argamassa Refinada,Acabamento,901,177,459.22,950.97
Telha de Zinco Premium,Estrutura,408,497,473.56,743.83
Parafuso Premium,Iluminação,271,260,88.06,173.98
Telha de Zinco Residencial,Estrutura,971,234,134.6,194.0
Telha Cerâmica Comercial,Hidráulica,737,140,406.76,599.48
Interruptor Refinada,Hidráulica,833,482,261.55,315.25
Madeira Serrada Comum,Iluminação,570,304,229.25,387.02
Prego Comercial,Hidráulica,613,344,356.76,701.19
Areia Comercial,Acabamento,138,49,302.95,667.8
Fio Elétrico Extra,Estrutura,842,269,485.5,1084.84
Parafuso Refinada,Acabamento,549,107,294.07,732.06
Tomada Premium,Hidráulica,365,45,235.66,288.18
Tomada Reforçada,Estrutura,669,473,273.69,490.01
Lâmpada LED Premium,Acabamento,441,81,405.23,741.54
Madeira Serrada Industrial,Iluminação,849,125,308.27,686.32
Telha de Zinco Industrial,Acabamento,74,83,325.29,479.12
Lâmpada LED Industrial,Hidráulica,227,289,485.86,581.63
Argamassa Residencial,Estrutura,572,70,311.11,478.88
Interruptor Industrial,Iluminação,436,174,193.24,478.75
Prego Premium,Estrutura,826,315,347.21,819.14
Porta de Madeira Residencial,Iluminação,930,329,331.43,547.97
Janela de Alumínio Comum,Estrutura,83,462,11.85,27.57
Brita Industrial,Hidráulica,469,336,236.33,270.8
Cimento Extra,Iluminação,434,394,372.74,573.98
Cimento Comercial,Elétrica,720,353,252.03,533.68
Janela de Alumínio Residencial,Estrutura,201,90,390.91,551.2
Cimento Industrial,Estrutura,198,468,228.19,314.39
Canos PVC Residencial,Acabamento,21,350,491.74,1134.21
Brita Extra,Iluminação,248,433,149.98,294.31
Fio Elétrico Comercial,Elétrica,881,248,50.6,125.72
Telha de Zinco Comum,Hidráulica,602,131,217.86,280.72
Bloco de Concreto Extra,Acabamento,462,168,273.15,436.65
Lâmpada LED Comum,Elétrica,392,442,177.8,273.05
Rejunte Industrial,Iluminação,791,59,124.93,291.36
Interruptor Premium,Elétrica,811,368,337.67,492.13
Argamassa Reforçada,Estrutura,57,336,191.68,305.7
Canos PVC Comum,Estrutura,326,240,317.53,412.78
Madeira Serrada Premium,Acabamento,218,189,390.64,853.77
Parafuso Extra,Iluminação,556,495,381.7,546.89
Argamassa Comum,Iluminação,128,339,190.78,228.11
Rejunte Premium,Elétrica,586,280,286.11,489.01
Tijolo Extra,Acabamento,324,231,227.58,375.06
Cimento Premium,Iluminação,763,470,436.05,588.08
Brita Comercial,Estrutura,45,462,439.99,566.28
Prego Comum,Elétrica,472,288,175.15,412.51
Rejunte Extra,Hidráulica,773,274,50.41,60.24
Janela de Alumínio Comercial,Estrutura,924,312,87.95,108.97
Porta de Madeira Comum,Acabamento,764,14,186.67,269.38
Areia Refinada,Iluminação,563,40,284.3,691.98
Tinta Acrílica Comum,Estrutura,590,452,330.11,402.58
Prego Refinada,Hidráulica,412,207,169.03,379.04
Argamassa Industrial,Hidráulica,116,59,335.41,787.84
Interruptor Extra,Acabamento,48,364,469.18,764.3
Prego Residencial,Estrutura,590,239,327.75,495.38
Interruptor Residencial,Elétrica,189,95,83.49,171.01
Areia Extra,Estrutura,21,277,291.94,608.31
Cimento Refinada,Hidráulica,348,426,273.24,598.93
Lâmpada LED Extra,Acabamento,952,159,436.0,986.58
Fio Elétrico Comum,Acabamento,725,396,178.4,263.27
Interruptor Comercial,Elétrica,557,421,214.36,441.96
Bloco de Concreto Comercial,Acabamento,135,281,301.34,388.39
Bloco de Concreto Residencial,Acabamento,72,499,264.59,480.24
Fio Elétrico Industrial,Acabamento,853,208,360.91,706.68
Rejunte Refinada,Acabamento,91,132,24.99,33.15
Canos PVC Refinada,Acabamento,828,380,283.94,342.75
Telha de Zinco Reforçada,Hidráulica,308,432,65.23,89.54
Areia Premium,Estrutura,43,96,161.03,271.95
Tinta Acrílica Reforçada,Iluminação,761,218,332.51,779.06
Lâmpada LED Reforçada,Acabamento,618,388,82.92,152.96
Argamassa Comercial,Iluminação,58,484,157.88,339.11
Canos PVC Industrial,Iluminação,667,70,352.99,474.35
Rejunte Comercial,Hidráulica,646,431,327.15,408.4
Bloco de Concreto Comum,Acabamento,710,273,50.06,71.86
Cimento Residencial,Iluminação,66,350,290.75,447.59
Telha Cerâmica Reforçada,Acabamento,870,133,77.89,145.45
Brita Reforçada,Elétrica,118,65,129.87,303.08
Tijolo Comercial,Elétrica,526,126,232.31,394.12
Tomada Residencial,Elétrica,994,204,59.13,107.99
Interruptor Reforçada,Iluminação,33,297,496.86,549.76
Madeira Serrada Extra,Elétrica,230,116,86.86,99.6
Porta de Madeira Refinada,Hidráulica,969,435,391.75,476.87
Porta de Madeira Industrial,Hidráulica,324,266,415.77,864.22
Prego Extra,Iluminação,303,281,497.26,885.45
Madeira Serrada Reforçada,Acabamento,938,148,217.18,297.57
Tinta Acrílica Extra,Estrutura,19,193,437.68,844.56
Telha Cerâmica Premium,Acabamento,686,167,478.98,892.08
Janela de Alumínio Premium,Acabamento,490,311,90.58,110.9
Janela de Alumínio Industrial,Acabamento,736,373,242.32,483.81
Tijolo Reforçada,Acabamento,647,178,34.71,75.46
Fio Elétrico Reforçada,Estrutura,276,147,312.26,468.76
Tijolo Premium,Elétrica,801,464,292.8,603.9
Telha de Zinco Extra,Acabamento,97,463,106.04,146.29
Tomada Extra,Hidráulica,464,56,399.96,863.68
Porta de Madeira Reforçada,Iluminação,635,489,23.45,55.73
